Nama,NIK,Tanggal Lahir,Alamat
"Ziva Hafiz,6154615969732955,2003-07-08,""Jl. Jenderal Ahmad Yani No.44 RT06/RW06, Makassar, Sulawesi Selatan"""
"Kirana Nina,5210018722313823,2005-03-20,""Jl. Slamet Riyadi No.75 RT02/RW04, Palembang, Sumatera Selatan"""
"Kirana Gilang,9854185906587219,2005-03-12,""Jl. MT Haryono No.10 RT04/RW01, Balikpapan, Kalimantan Timur"""
"Felicia Fikri,2168873423944664,2002-08-23,""Jl. Gajah Mada No.101 RT01/RW01, Jakarta Barat, DKI Jakarta"""
"Bagas Tegar,8964585687033284,2003-05-19,""Jl. Asia Afrika No.77 RT02/RW03, Bandung, Jawa Barat"""
"Jordi Ziva,1592203345967049,2000-08-14,""Jl. Rajawali No.39 RT04/RW05, Pekanbaru, Riau"""
"Melody Reyhan,4586303315520831,2003-12-15,""Jl. Sudirman No.88 RT05/RW04, Medan, Sumatera Utara"""
"Yasmin Tiara,7457564932175350,2001-06-25,""Jl. Siliwangi No.29 RT03/RW02, Cirebon, Jawa Barat"""
"Felicia Ilham,5311432993167242,2003-06-09,""Jl. Diponegoro No.35 RT01/RW03, Malang, Jawa Timur"""
"Adinda Amanda,4700112288382365,2002-02-22,""Jl. Darmo No.56 RT03/RW02, Surabaya, Jawa Timur"""
"Bagas Adinda,4687851202443229,2005-05-11,""Jl. KH Amin Jasuta No. 69, Batu, JK 53554"""
"Dion Tania,6178243741540068,2005-05-08,""Gang Siliwangi No. 9, Padang Sidempuan, JI 02341"""
"Rendi Bella,2128842276197286,2005-01-11,""Jalan Dipenogoro No. 780, Yogyakarta, Riau 14921"""
"Luna Adinda,3855534657921226,2001-12-08,""Jl. Peta No. 22, Bandar Lampung, BT 57784"""
"Nina Hafiz,1668020497206600,2002-11-15,""Gg. Medokan Ayu No. 9, Pontianak, MA 78317"""
"Nina Tegar,5195854268335945,2003-06-22,""Gang Jakarta No. 00, Malang, LA 80774"""
"Bella Reyhan,5659965127794537,2003-03-21,""Jalan Abdul Muis No. 5, Padang Sidempuan, Sulawesi Selatan 32663"""
"Tegar Gilang,2155936092823268,2004-10-16,""Jalan M.T Haryono No. 4, Sungai Penuh, KR 31224"""
"Bagas Fikri,8467452954967838,2004-08-06,""Gang Wonoayu No. 35, Bukittinggi, Bengkulu 21442"""
"Amanda Maya,5965702804918204,2004-04-02,""Jl. Jakarta No. 735, Lhokseumawe, SB 70512"""
"Sheila Kirana,6294305854458084,2001-02-12,""Jalan R.E Martadinata No. 23, Metro, Aceh 36730"""
"Bagas Rendi,7915559553049302,2003-09-10,""Jl. Waringin No. 45, Sorong, Banten 47435"""
"Melody Ziva,2162226595339836,2000-11-22,""Gg. Raya Ujungberung No. 249, Mojokerto, Kalimantan Utara 09792"""
"Fikri Yasmin,5529392764064361,2003-08-11,""Gg. Dipatiukur No. 9, Tual, Bengkulu 52812"""
"Tegar Felicia,8820155809984617,2004-08-07,""Gang Kebonjati No. 652, Banjar, Sumatera Barat 84873"""
"Reyhan Fikri,8488499056871768,2005-04-09,""Gang Pelajar Pejuang No. 8, Batam, Sumatera Utara 74485"""
"Jordi Melody,2378240050648940,2004-04-24,""Jl. Wonoayu No. 93, Tebingtinggi, DI Yogyakarta 38782"""
"Melody Gilang,2458867953661808,2002-11-10,""Jalan Dipenogoro No. 1, Blitar, KB 31731"""
"Jordi Bella,7389098579950216,2000-09-20,""Jalan Siliwangi No. 910, Sungai Penuh, SB 70586"""
"Luna Rendi,9534170222786545,2003-08-04,""Jl. Rajawali Barat No. 381, Tebingtinggi, Kalimantan Timur 33839"""
"Hafiz Nina,3558481502166398,2001-12-21,""Gang Otto Iskandardinata No. 12, Purwokerto, RI 28975"""
"Melody Sheila,2768127442955133,2003-02-18,""Gang Raya Ujungberung No. 3, Metro, BB 77600"""
"Reyhan Tiara,2127434388925509,2002-11-14,""Jalan Rajawali Barat No. 350, Purwokerto, Sumatera Selatan 10752"""
"Kirana Felicia,6534277114915271,2001-08-18,""Jl. Pasir Koja No. 19, Salatiga, KT 57279"""
"Ilham Melody,5526775672171651,2001-04-06,""Jalan Cikutra Barat No. 56, Bitung, KI 60480"""
